Comunidad autónoma de residencia;Tipo de hogar (reducida);Gastos medios, distribución e índice;Periodo;Total
Total Nacional;Total;Gasto medio por hogar;2024;34.044,03
Total Nacional;Total;Gasto medio por hogar;2023;32.616,66
Total Nacional;Total;Gasto medio por hogar;2022;31.408,41
Total Nacional;Total;Gasto medio por hogar;2021;29.167,26
Total Nacional;Total;Gasto medio por hogar;2020;26.995,76
Total Nacional;Total;Gasto medio por hogar;2019;30.242,76
Total Nacional;Total;Gasto medio por hogar;2018;29.871,28
Total Nacional;Total;Gasto medio por hogar;2017;29.188,19
Total Nacional;Total;Gasto medio por hogar;2016;28.199,88
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2024;28.183,01
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2023;26.894,46
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2022;25.850,01
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2021;23.797,18
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2020;22.115,41
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2019;24.206,92
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2018;23.651,69
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2017;23.043,28
Total Nacional;Persona o pareja de 65 o más años;Gasto medio por hogar;2016;22.585,16
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2024;27.469,34
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2023;26.613,89
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2022;25.336,98
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2021;23.578,40
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2020;22.334,29
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2019;25.671,00
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2018;25.485,23
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2017;24.536,00
Total Nacional;Otros hogares con una persona o pareja sin hijos;Gasto medio por hogar;2016;23.519,08
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2024;39.603,46
Total Nacional;Adulto con menores de 16 años o pareja con al menos 1 hijo menor de 16 años;Gasto medio por hogar;2023;37.186,23
