Comunidad autónoma de residencia;Tipo de dato;Gastos medios y distribución porcentual;Grupos de gasto (2 dígitos);Periodo;Total
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2024;34.044,03
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2023;32.616,66
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2022;31.408,41
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2021;29.167,26
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2020;26.995,76
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2019;30.242,76
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2018;29.871,28
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2017;29.188,19
Total Nacional;Dato base;Gasto medio por hogar;Índice general;2016;28.199,88
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2024;5.390,72
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2023;5.334,91
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2022;5.049,86
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2021;4.822,63
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2020;4.579,84
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2019;4.286,79
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2018;4.224,11
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2017;4.108,38
Total Nacional;Dato base;Gasto medio por hogar;01 Alimentos y bebidas no alcohólicas;2016;4.124,05
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2024;446,84
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2023;472,19
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2022;478,07
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2021;496,29
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2020;509,24
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2019;515,50
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2018;518,10
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2017;535,48
Total Nacional;Dato base;Gasto medio por hogar;02 Bebidas alcohólicas, tabaco y estupefacientes;2016;535,59
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2024;1.431,59
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2023;1.319,38
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2022;1.220,15
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2021;1.150,07
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2020;1.009,03
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2019;1.417,49
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2018;1.463,11
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2017;1.514,84
Total Nacional;Dato base;Gasto medio por hogar;03 Vestido y calzado;2016;1.451,41
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2024;11.029,03
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;10.393,76
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;10.235,47
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;9.900,93
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;9.647,57
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;9.470,39
Total Nacional;Dato base;Gasto medio por hogar;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;9.212,65
